name,german__risiko_rel,english_listen__risiko_rel,english_read__risiko_rel,math__risiko_rel,german__niveau0_rel,english_listen__niveau0_rel,english_read__niveau0_rel,math__niveau0_rel,german__niveau1_rel,english_listen__niveau1_rel,english_read__niveau1_rel,math__niveau1_rel,german__niveau2_rel,english_listen__niveau2_rel,english_read__niveau2_rel,math__niveau2_rel,german__niveau3_rel,english_listen__niveau3_rel,english_read__niveau3_rel,math__niveau3_rel,german__niveau4_rel,english_listen__niveau4_rel,english_read__niveau4_rel,math__niveau4_rel,german__niveau5_rel,english_listen__niveau5_rel,english_read__niveau5_rel,math__niveau5_rel,id,participating
Bielefeld,7,2,6,21,1,0,1,1,6,2,6,20,19,25,17,29,34,43,53,25,31,25,17,16,9,5,6,9,05711,2910
Bochum,14,5,11,25,3,0,2,2,11,5,10,23,16,22,20,27,32,48,41,27,27,18,21,13,11,7,7,8,05911,2576
Bottrop,16,8,16,32,2,0,2,2,14,7,14,30,20,32,24,25,31,36,34,22,24,15,19,15,8,9,7,5,05512,911
Dortmund,13,6,11,30,2,0,1,2,11,5,9,28,22,27,22,27,34,44,41,25,23,17,19,12,8,6,7,6,05913,4268
Ennepe-Ruhr-Kreis,7,4,7,21,1,1,0,1,6,3,7,20,19,22,15,28,35,45,51,25,32,24,19,18,8,4,7,8,05954,2733
Essen,9,6,11,28,1,1,2,2,8,5,9,26,17,24,21,26,34,45,38,27,31,18,22,13,11,7,9,6,05113,3067
Essen,9,6,11,28,1,1,2,2,8,5,9,26,17,24,21,26,34,45,38,27,31,18,22,13,11,7,9,6,05113,4193
Gelsenkirchen,24,11,15,36,3,1,2,3,20,10,13,33,21,32,25,28,31,39,38,24,18,13,16,9,6,5,5,3,05513,2032
Hagen,6,7,9,10,1,1,2,1,5,6,8,9,28,38,16,27,31,30,37,25,27,22,32,21,8,3,6,12,05914,1930
Hamm,7,7,17,29,1,1,3,0,6,6,14,28,17,23,33,27,31,48,34,25,28,19,14,13,17,3,3,6,05915,1811
Herford,5,2,5,18,0,0,0,0,5,2,5,17,19,21,14,31,35,49,55,27,32,25,20,17,9,4,5,8,05758,2421
Herne,19,7,13,33,2,1,1,2,16,6,12,31,24,31,25,31,32,45,39,23,20,13,16,8,5,4,6,4,05916,1301
Hochsauerlandkreis,4,3,11,20,1,0,1,0,4,3,10,20,13,21,30,25,26,48,34,24,34,23,20,20,23,5,4,10,05958,2689
Minden-Lübbecke,5,3,8,21,1,0,1,1,5,3,7,20,19,22,15,27,36,46,52,28,30,24,19,16,10,4,6,9,05770,3113
Märkischer Kreis,9,4,9,24,1,0,1,1,8,3,8,22,22,27,16,29,36,43,51,26,27,23,18,15,8,3,5,7,05962,4026
Mülheim an der Ruhr,15,5,10,28,1,1,1,2,14,4,9,26,20,24,23,25,30,45,37,26,26,19,21,12,8,7,10,9,05117,1278
Oberhausen,15,6,12,29,2,0,1,3,14,6,11,26,23,27,22,28,34,47,41,27,23,15,19,11,5,5,6,5,05119,1510
Olpe,5,1,7,18,0,0,1,0,5,1,7,17,18,22,14,27,34,47,52,28,31,26,21,19,11,3,7,9,05966,1495
Recklinghausen,13,6,11,28,2,0,1,1,12,5,10,26,19,27,23,27,33,46,41,26,26,15,19,12,8,5,6,7,05562,5168
Siegen-Wittgenstein,8,3,7,21,1,0,1,1,7,3,6,21,24,25,16,30,33,46,54,25,27,23,18,15,8,3,5,8,05970,2668
Unna,9,5,10,26,1,1,2,2,8,5,9,24,20,27,17,26,34,41,50,24,27,24,17,16,9,3,6,8,05978,3844
