schulform,fach,participating,niveau0_rel,niveau1_rel,niveau2_rel,niveau3_rel,niveau4_rel,niveau5_rel,niveau6_rel,chart_id
Gymnasium,Deutsch,12419.0,0.0,0.5,8.2,32.4,41.5,17.4,,gymnasium-deutsch
Gymnasium,Englisch (Hören),12419.0,0.0,0.0,3.0,51.0,35.1,11.0,,gymnasium-englisch-hoeren
Gymnasium,Englisch (Lesen),12419.0,0.0,0.0,2.8,40.5,40.7,15.9,,gymnasium-englisch-lesen
Gymnasium,Mathe,12419.0,0.0,1.3,13.7,38.1,29.9,16.2,0.7,gymnasium-mathe
Hauptschule,Deutsch,3067.0,9.5,33.1,34.4,18.1,4.6,0.6,,hauptschule-deutsch
Hauptschule,Englisch (Hören),3067.0,3.3,24.6,54.8,15.6,1.5,0.4,,hauptschule-englisch-hoeren
Hauptschule,Englisch (Lesen),3067.0,9.0,38.1,34.6,17.0,1.1,0.3,,hauptschule-englisch-lesen
Hauptschule,Mathe,3067.0,8.5,61.8,23.5,5.4,0.8,0.1,0.0,hauptschule-mathe
Realschule,Deutsch,8684.0,0.5,10.1,26.5,39.6,19.9,3.4,,realschule-deutsch
Realschule,Englisch (Hören),8684.0,0.3,1.8,31.3,52.7,11.5,2.3,,realschule-englisch-hoeren
Realschule,Englisch (Lesen),8684.0,0.0,3.7,29.1,55.5,10.1,1.3,,realschule-englisch-lesen
Realschule,Mathe,8684.0,0.2,26.8,42.4,24.1,4.8,1.5,0.1,realschule-mathe
Schulen des längeren gemeinsamen Lernens,Deutsch,17644.0,3.1,20.6,27.6,30.2,15.3,3.3,,schulen-des-laengeren-gemeinsamen-lernens-deutsch
Schulen des längeren gemeinsamen Lernens,Englisch (Hören),10511.0,0.7,8.6,43.1,37.0,8.5,2.1,,schulen-des-laengeren-gemeinsamen-lernens-englisch-hoeren
Schulen des längeren gemeinsamen Lernens,Englisch (Lesen),10511.0,2.2,17.3,32.6,39.5,7.4,1.1,,schulen-des-laengeren-gemeinsamen-lernens-englisch-lesen
Schulen des längeren gemeinsamen Lernens,Mathe,10511.0,2.6,40.4,32.9,18.5,3.9,1.7,0.0,schulen-des-laengeren-gemeinsamen-lernens-mathe
